name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Collin Sexton,"['SG', 'PG']",64,32.9,.468,.845,1.5,3.1,2.9,1.22,1.0,0.1,2.4,20.7
Evan Fournier,['SG'],61,31.7,.470,.820,2.7,2.6,3.2,1.61,1.1,0.2,2.0,18.8
Ivica Zubac,['C'],63,18.0,.602,.755,0.0,7.1,1.1,1.35,0.2,0.9,0.8,8.0
Joe Ingles,['SF'],63,29.9,.436,.774,1.9,4.0,5.2,2.69,0.9,0.1,1.9,9.6
Spencer Dinwiddie,"['PG', 'SG']",63,31.2,.415,.774,1.9,3.4,6.7,2.50,0.6,0.3,2.7,20.6
Kevin Love,['PF'],55,31.7,.453,.850,2.6,9.8,3.1,1.25,0.6,0.3,2.5,17.6
Richaun Holmes,"['C', 'PF']",39,28.8,.654,.800,0.0,8.3,1.0,0.80,1.0,1.4,1.3,12.8
Otto Porter Jr.,['SF'],13,23.4,.434,.692,1.7,3.4,1.8,2.30,1.0,0.5,0.8,11.7
Serge Ibaka,"['C', 'PF']",49,27.4,.518,.739,1.2,8.2,1.4,0.73,0.5,0.9,2.0,15.8
Coby White,['PG'],64,25.7,.394,.790,2.0,3.5,2.7,1.70,0.8,0.1,1.6,13.1
Jarrett Allen,['C'],63,25.9,.647,.627,0.0,9.5,1.3,1.18,0.6,1.3,1.1,10.8
Rui Hachimura,"['PF', 'SF']",40,29.7,.476,.822,0.5,6.0,1.7,1.70,0.9,0.1,1.0,13.4
Miles Bridges,"['SF', 'PF']",63,30.7,.429,.808,1.6,5.6,1.7,1.15,0.6,0.7,1.5,13.1
Thomas Bryant,['C'],37,23.6,.601,.733,0.6,6.8,1.9,1.44,0.4,0.9,1.3,12.0
Mikal Bridges,['SF'],64,27.0,.514,.848,0.9,4.0,1.8,1.78,1.4,0.6,1.0,8.7
Kendrick Nunn,['SG'],61,29.7,.446,.837,2.0,2.7,3.4,2.09,0.8,0.2,1.6,15.5
Terry Rozier,"['PG', 'SG']",62,34.2,.419,.877,2.6,4.4,4.1,1.83,1.0,0.2,2.3,17.6
DeMarcus Cousins,['C'],--,--,--,--,--,--,--,--,--,--,--,--
PJ Washington,['PF'],56,30.5,.459,.657,1.5,5.5,2.2,1.33,0.9,0.8,1.6,12.3
Malik Beasley,['SG'],54,21.8,.430,.818,2.0,2.7,1.4,1.35,0.7,0.1,1.0,11.3
Bojan Bogdanovic,"['SF', 'PF']",62,33.2,.449,.903,3.0,4.2,2.1,0.82,0.5,0.1,2.5,20.5
Derrick Rose,['PG'],50,26.0,.490,.871,0.9,2.4,5.6,2.21,0.8,0.3,2.5,18.1
Killian Hayes,['PG'],--,--,--,--,--,--,--,--,--,--,--,--
Elfrid Payton,['PG'],43,27.8,.441,.577,0.3,4.8,7.1,3.41,1.5,0.4,2.1,10.1
Blake Griffin,['PF'],18,28.5,.352,.776,1.5,4.7,3.3,1.47,0.4,0.4,2.2,15.5
Larry Nance Jr.,"['PF', 'C']",55,26.2,.525,.686,1.0,7.4,2.1,1.98,1.0,0.4,1.1,10.0
Bogdan Bogdanovic,"['SG', 'SF']",53,28.5,.433,.724,2.6,3.2,3.2,1.90,1.0,0.3,1.7,14.5
Kevin Huerter,['SG'],54,31.3,.414,.828,2.3,4.1,3.7,2.34,0.9,0.5,1.6,12.3
James Wiseman,['C'],--,--,--,--,--,--,--,--,--,--,--,--
Marvin Bagley III,['PF'],13,25.6,.467,.806,0.3,7.5,0.8,0.56,0.5,0.9,1.4,14.2
Davis Bertans,['PF'],53,29.3,.436,.857,3.7,4.6,1.7,1.53,0.7,0.6,1.1,15.5
DeAndre Jordan,['C'],55,21.9,.668,.692,0.0,10.0,1.9,1.41,0.3,0.9,1.3,8.3
Anthony Edwards,['SG'],--,--,--,--,--,--,--,--,--,--,--,--
Dillon Brooks,"['SG', 'SF']",64,28.4,.402,.806,2.0,3.3,2.0,1.22,0.9,0.4,1.6,15.6
